epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.934,1.98493,1.83792,1.12655,0.27454,0.30188,0.25756,0.1252,2.03426,1.72084,1.15581,0.0703093,0.00329897,0.00329897
2,161.466,1.91301,1.31162,1.0918,0.47681,0.17312,0.18902,0.09144,2.11163,2.10696,1.26987,0.040178,0.00650098,0.00650098
3,233.313,1.85022,1.20961,1.0781,0.39589,0.4556,0.40186,0.21691,1.95261,1.51528,1.151,0.00991464,0.009571,0.009571
4,300.611,1.79633,1.14299,1.06258,0.46852,0.31631,0.32277,0.17313,2.04747,1.53702,1.1896,0.009406,0.009406,0.009406
5,367.522,1.73992,1.06178,1.03692,0.57323,0.51862,0.54574,0.31826,1.79622,1.2246,1.06868,0.009208,0.009208,0.009208
6,434.689,1.688,1.01827,1.02636,0.57682,0.53807,0.56519,0.32147,1.67614,1.1899,1.04503,0.00901,0.00901,0.00901
7,499.408,1.6606,0.99376,1.01699,0.6988,0.61295,0.67454,0.39654,1.631,1.0832,1.02474,0.008812,0.008812,0.008812
8,566.2,1.61114,0.94705,1.00297,0.71746,0.65878,0.71417,0.40617,1.6926,1.05413,1.0434,0.008614,0.008614,0.008614
9,632.945,1.61547,0.94498,0.99988,0.76454,0.67642,0.76442,0.46664,1.58194,0.93076,1.01013,0.008416,0.008416,0.008416
10,698.426,1.56736,0.90825,0.9886,0.74373,0.66589,0.72712,0.42901,1.61979,0.96704,1.02322,0.008218,0.008218,0.008218
11,765.224,1.53756,0.88846,0.98106,0.79934,0.70696,0.79791,0.49011,1.5346,0.86719,0.99299,0.00802,0.00802,0.00802
12,832.317,1.5044,0.84913,0.97131,0.82871,0.72109,0.80769,0.51482,1.50028,0.89203,0.98909,0.007822,0.007822,0.007822
13,898.152,1.50678,0.8428,0.9717,0.79703,0.74128,0.81588,0.50823,1.50257,0.83989,0.99404,0.007624,0.007624,0.007624
14,964.682,1.48339,0.83356,0.9635,0.86079,0.756,0.83616,0.54441,1.43619,0.79264,0.97427,0.007426,0.007426,0.007426
15,1032.5,1.45427,0.80627,0.96009,0.79131,0.75582,0.82545,0.52473,1.48337,0.80694,0.98042,0.007228,0.007228,0.007228
16,1097.38,1.45641,0.79502,0.95818,0.82064,0.76233,0.84153,0.54621,1.43783,0.79174,0.96328,0.00703,0.00703,0.00703
17,1163.2,1.43929,0.78238,0.95243,0.84898,0.78563,0.86069,0.564,1.4296,0.7739,0.96504,0.006832,0.006832,0.006832
18,1228.94,1.42385,0.78241,0.94917,0.84141,0.79686,0.86405,0.57326,1.38165,0.74309,0.94997,0.006634,0.006634,0.006634
19,1295.2,1.42978,0.77459,0.94529,0.8471,0.80089,0.8719,0.5657,1.40288,0.77065,0.96154,0.006436,0.006436,0.006436
20,1360.9,1.40154,0.7596,0.94536,0.86188,0.79332,0.86792,0.57263,1.37285,0.74166,0.9523,0.006238,0.006238,0.006238
21,1427.68,1.37218,0.74305,0.93521,0.86482,0.80273,0.87106,0.58158,1.38001,0.72652,0.9493,0.00604,0.00604,0.00604
22,1493.42,1.38315,0.74815,0.9416,0.89551,0.80931,0.88297,0.5931,1.33826,0.71507,0.94339,0.005842,0.005842,0.005842
23,1559.96,1.37196,0.7408,0.93636,0.89993,0.8159,0.8887,0.6042,1.32695,0.71219,0.93966,0.005644,0.005644,0.005644
24,1626.58,1.35232,0.72883,0.93252,0.85658,0.79645,0.86923,0.58138,1.35373,0.72451,0.94434,0.005446,0.005446,0.005446
25,1690.84,1.36525,0.7337,0.93286,0.86305,0.84126,0.89336,0.60437,1.29778,0.68423,0.93381,0.005248,0.005248,0.005248
26,1757.34,1.32612,0.70553,0.92641,0.88038,0.83565,0.90209,0.61601,1.29761,0.6846,0.93314,0.00505,0.00505,0.00505
27,1822.61,1.32302,0.7037,0.92764,0.89356,0.83971,0.89675,0.62458,1.29492,0.6727,0.9321,0.004852,0.004852,0.004852
28,1887.69,1.32211,0.70259,0.92541,0.87802,0.83267,0.90153,0.62539,1.25883,0.66733,0.92527,0.004654,0.004654,0.004654
29,1953.5,1.31583,0.69589,0.92349,0.90106,0.83235,0.90308,0.62619,1.27786,0.66074,0.92563,0.004456,0.004456,0.004456
30,2018.35,1.29163,0.6838,0.91679,0.90799,0.83384,0.90471,0.64107,1.24562,0.64674,0.91941,0.004258,0.004258,0.004258
31,2084.91,1.28687,0.68215,0.91622,0.91213,0.8405,0.90999,0.63606,1.24799,0.66484,0.92092,0.00406,0.00406,0.00406
32,2151.11,1.28882,0.6816,0.91514,0.89537,0.85335,0.90814,0.63112,1.25133,0.66016,0.92152,0.003862,0.003862,0.003862
33,2215.7,1.26697,0.67213,0.91041,0.88614,0.84578,0.90788,0.64509,1.2329,0.64604,0.91599,0.003664,0.003664,0.003664
34,2281.52,1.27235,0.67387,0.91572,0.8841,0.86542,0.91157,0.64308,1.22107,0.64731,0.91461,0.003466,0.003466,0.003466
35,2345.77,1.25879,0.66369,0.91156,0.90331,0.85318,0.90977,0.64143,1.22091,0.63919,0.91184,0.003268,0.003268,0.003268
36,2411.23,1.2436,0.65689,0.90618,0.88618,0.85185,0.90976,0.64705,1.20974,0.63262,0.91145,0.00307,0.00307,0.00307
37,2478.69,1.23586,0.64928,0.90791,0.91214,0.85054,0.91601,0.65706,1.19235,0.62963,0.90806,0.002872,0.002872,0.002872
38,2544,1.24157,0.6555,0.90696,0.90842,0.85582,0.91582,0.65586,1.19425,0.63072,0.90698,0.002674,0.002674,0.002674
39,2609.63,1.23037,0.64962,0.90391,0.89575,0.86464,0.9172,0.65848,1.1921,0.62497,0.90521,0.002476,0.002476,0.002476
40,2676.49,1.21223,0.63796,0.90062,0.90599,0.87073,0.92264,0.66369,1.18495,0.61133,0.90444,0.002278,0.002278,0.002278
41,2745.2,1.22176,0.64207,0.91322,0.91281,0.85122,0.91633,0.65237,1.19753,0.62807,0.90787,0.00208,0.00208,0.00208
42,2806.7,1.19249,0.6267,0.90788,0.91169,0.86128,0.92124,0.6612,1.1831,0.61718,0.90377,0.001882,0.001882,0.001882
43,2870.09,1.1689,0.61751,0.90039,0.90741,0.86598,0.92156,0.66757,1.15748,0.61161,0.90016,0.001684,0.001684,0.001684
44,2934.03,1.16432,0.61023,0.8982,0.91263,0.86007,0.9229,0.67144,1.15466,0.60313,0.8991,0.001486,0.001486,0.001486
45,3002.24,1.14837,0.60515,0.89689,0.91449,0.877,0.92348,0.673,1.15704,0.60025,0.89912,0.001288,0.001288,0.001288
46,3067.9,1.13508,0.59757,0.89683,0.92661,0.87218,0.92665,0.67946,1.14001,0.58952,0.89707,0.00109,0.00109,0.00109
47,3131.63,1.13947,0.60009,0.89646,0.93252,0.87316,0.92597,0.67953,1.1276,0.58831,0.89417,0.000892,0.000892,0.000892
48,3198.39,1.11918,0.59247,0.89213,0.91522,0.87947,0.92699,0.68305,1.11992,0.5838,0.89126,0.000694,0.000694,0.000694
49,3263.54,1.11273,0.58876,0.88677,0.91699,0.87813,0.92749,0.68373,1.1187,0.5839,0.89114,0.000496,0.000496,0.000496
50,3329.12,1.1033,0.58223,0.88856,0.91535,0.88113,0.92798,0.68458,1.10934,0.57828,0.88993,0.000298,0.000298,0.000298
